system:time_start;0;NPP8
Jul 28;2014;294.958
Aug 5;2014;318.352
Aug 13;2014;285.366
Aug 21;2014;323.203
Aug 29;2014;339.699
Sep 6;2014;405.283
Sep 14;2014;337.191
Sep 22;2014;377.747
Sep 30;2014;398.033
Oct 8;2014;417.960
Oct 16;2014;418.733
Oct 24;2014;415.542
Nov 1;2014;415.257
Nov 9;2014;384.334
Nov 17;2014;434.053
Nov 25;2014;424.865
Dec 3;2014;498.454
Dec 11;2014;434.197
Dec 19;2014;369.558
Dec 27;2014;228.675
Jan 1;2015;367.968
Jan 9;2015;381.666
Jan 17;2015;336.597
Jan 25;2015;280.742
Feb 2;2015;251.170
Feb 10;2015;337.921
Feb 18;2015;399.498
Feb 26;2015;383.034
Mar 6;2015;224.342
Mar 14;2015;267.440
Mar 22;2015;356.953
Mar 30;2015;349.875
Apr 7;2015;362.929
Apr 15;2015;294.534
Apr 23;2015;329.008
May 1;2015;280.381
May 9;2015;270.198
May 17;2015;248.529
May 25;2015;239.058
Jun 2;2015;275.847
Jun 10;2015;232.988
Jun 18;2015;212.690
Jun 26;2015;256.357
Jul 4;2015;198.818
Jul 12;2015;254.006
Jul 20;2015;236.119
Jul 28;2015;306.830
Aug 5;2015;330.792
Aug 13;2015;335.516
Aug 21;2015;291.952
Aug 29;2015;304.679
Sep 6;2015;220.805
Sep 14;2015;365.917
Sep 22;2015;315.867
Sep 30;2015;355.185
Oct 8;2015;385.488
Oct 16;2015;348.249
Oct 24;2015;349.579
Nov 1;2015;314.264
Nov 9;2015;391.133
Nov 17;2015;362.600
Nov 25;2015;408.635
Dec 3;2015;364.516
Dec 11;2015;428.431
Dec 19;2015;486.612
Dec 27;2015;209.276
Jan 1;2016;425.261
Jan 9;2016;310.442
Jan 17;2016;402.996
Jan 25;2016;452.393
Feb 2;2016;469.038
Feb 10;2016;398.976
Feb 18;2016;305.856
Feb 26;2016;256.883
Mar 5;2016;334.494
Mar 13;2016;388.346
Mar 21;2016;330.211
Mar 29;2016;350.885
Apr 6;2016;414.456
Apr 14;2016;371.452
Apr 22;2016;255.376
Apr 30;2016;330.471
May 8;2016;265.280
May 16;2016;212.510
May 24;2016;251.095
Jun 1;2016;169.447
Jun 9;2016;267.168
Jun 17;2016;252.836
Jun 25;2016;258.506
Jul 3;2016;291.415
Jul 11;2016;258.214
Jul 19;2016;263.134
Jul 27;2016;266.169
Aug 4;2016;265.830
Aug 12;2016;306.963
Aug 20;2016;320.753
Aug 28;2016;328.118
Sep 5;2016;342.087
Sep 13;2016;284.521
Sep 21;2016;383.611
Sep 29;2016;250.139
Oct 7;2016;394.378
Oct 15;2016;392.254
Oct 23;2016;359.662
Oct 31;2016;348.983
Nov 8;2016;353.874
Nov 16;2016;424.524
Nov 24;2016;455.485
Dec 2;2016;425.561
Dec 10;2016;331.611
Dec 18;2016;399.986
Dec 26;2016;368.157
Jan 1;2017;379.389
Jan 9;2017;421.134
Jan 17;2017;394.762
Jan 25;2017;439.945
Feb 2;2017;359.780
Feb 10;2017;521.735
Feb 18;2017;397.212
Feb 26;2017;291.268
Mar 6;2017;352.524
Mar 14;2017;314.199
Mar 22;2017;413.559
Mar 30;2017;411.853
Apr 7;2017;326.144
Apr 15;2017;339.324
Apr 23;2017;287.244
May 1;2017;309.552
May 9;2017;316.424
May 17;2017;196.789
May 25;2017;294.965
Jun 2;2017;269.448
Jun 10;2017;254.659
Jun 18;2017;267.561
Jun 26;2017;274.436
Jul 4;2017;266.815
Jul 12;2017;286.629
Jul 20;2017;321.099
Jul 28;2017;324.651
Aug 5;2017;309.036
Aug 13;2017;252.874
Aug 21;2017;333.444
Aug 29;2017;382.055
Sep 6;2017;421.620
Sep 14;2017;431.790
Sep 22;2017;382.064
Sep 30;2017;328.618
Oct 8;2017;400.479
Oct 16;2017;357.794
Oct 24;2017;321.352
Nov 1;2017;357.038
Nov 9;2017;443.707
Nov 17;2017;400.065
Nov 25;2017;403.084
Dec 3;2017;462.553
Dec 11;2017;510.331
Dec 19;2017;425.193
Dec 27;2017;155.561
Jan 1;2018;324.518
Jan 9;2018;345.815
Jan 17;2018;419.981
Jan 25;2018;403.334
Feb 2;2018;347.439
Feb 10;2018;339.585
Feb 18;2018;315.709
Feb 26;2018;363.361
Mar 6;2018;375.927
Mar 14;2018;352.264
Mar 22;2018;439.268
Mar 30;2018;328.036
Apr 7;2018;368.101
Apr 15;2018;325.702
Apr 23;2018;351.081
May 1;2018;331.967
May 9;2018;301.679
May 17;2018;278.815
May 25;2018;282.951
Jun 2;2018;194.489
Jun 10;2018;203.079
Jun 18;2018;262.528
Jun 26;2018;288.771
Jul 4;2018;257.763
Jul 12;2018;296.173
Jul 20;2018;298.824
Jul 28;2018;241.996
Aug 5;2018;272.127
Aug 13;2018;308.968
Aug 21;2018;287.854
Aug 29;2018;349.388
Sep 6;2018;371.872
Sep 14;2018;221.553
Sep 22;2018;412.223
Sep 30;2018;305.954
Oct 8;2018;299.755
Oct 16;2018;383.936
Oct 24;2018;412.204
Nov 1;2018;355.782
Nov 9;2018;423.698
Nov 17;2018;342.557
Nov 25;2018;422.803
Dec 3;2018;506.041
Dec 11;2018;500.062
Dec 19;2018;381.380
Dec 27;2018;284.657
Jan 1;2019;369.535
Jan 9;2019;461.977
Jan 17;2019;362.884
Jan 25;2019;372.691
Feb 2;2019;313.072
Feb 10;2019;310.802
Feb 18;2019;299.618
Feb 26;2019;280.583
Mar 6;2019;308.179
Mar 14;2019;255.897
Mar 22;2019;380.366
Mar 30;2019;339.766
Apr 7;2019;303.649
Apr 15;2019;335.889
Apr 23;2019;315.521
May 1;2019;284.084
May 9;2019;238.266
May 17;2019;235.113
May 25;2019;275.639
Jun 2;2019;242.815
Jun 10;2019;274.623
Jun 18;2019;264.327
Jun 26;2019;244.087
Jul 4;2019;219.075
Jul 12;2019;238.169
Jul 20;2019;292.503
Jul 28;2019;249.791
Aug 5;2019;294.930
Aug 13;2019;253.658
Aug 21;2019;274.959
Aug 29;2019;287.547
Sep 6;2019;327.525
Sep 14;2019;298.831
Sep 22;2019;293.463
Sep 30;2019;424.389
Oct 8;2019;351.443
Oct 16;2019;392.261
Oct 24;2019;387.645
Nov 1;2019;326.113
Nov 9;2019;294.231
Nov 17;2019;361.825
Nov 25;2019;411.103
Dec 3;2019;396.643
Dec 11;2019;374.878
Dec 19;2019;331.825
Dec 27;2019;326.806
Jan 1;2020;400.373
Jan 9;2020;393.155
Jan 17;2020;339.144
Jan 25;2020;401.636
Feb 2;2020;291.137
Feb 10;2020;322.096
Feb 18;2020;440.186
Feb 26;2020;260.681
Mar 5;2020;456.138
Mar 13;2020;413.650
Mar 21;2020;402.786
Mar 29;2020;336.190
Apr 6;2020;369.414
Apr 14;2020;323.562
Apr 22;2020;362.390
Apr 30;2020;316.127
May 8;2020;292.252
May 16;2020;287.851
May 24;2020;277.357
Jun 1;2020;239.769
Jun 9;2020;223.492
Jun 17;2020;281.232
Jun 25;2020;239.493
Jul 3;2020;262.327
Jul 11;2020;246.622
Jul 19;2020;307.720
Jul 27;2020;265.591
Aug 4;2020;331.391
Aug 12;2020;284.402
Aug 20;2020;259.434
Aug 28;2020;354.309
Sep 5;2020;346.140
Sep 13;2020;317.701
Sep 21;2020;297.214
Sep 29;2020;378.919
Oct 7;2020;396.109
Oct 15;2020;413.573
Oct 23;2020;378.989
Oct 31;2020;399.520
Nov 8;2020;344.280
Nov 16;2020;414.577
Nov 24;2020;495.820
Dec 2;2020;336.236
Dec 10;2020;313.216
Dec 18;2020;416.713
Dec 26;2020;202.908
Jan 1;2021;378.844
Jan 9;2021;465.314
Jan 17;2021;577.261
Jan 25;2021;458.541
Feb 2;2021;366.657
Feb 10;2021;362.428
Feb 18;2021;433.698
Feb 26;2021;352.926
Mar 6;2021;328.614
Mar 14;2021;407.449
Mar 22;2021;429.016
Mar 30;2021;421.928
Apr 7;2021;408.175
Apr 15;2021;359.046
Apr 23;2021;334.826
May 1;2021;334.873
May 9;2021;281.947
May 17;2021;297.773
May 25;2021;244.430
Jun 2;2021;283.949
Jun 10;2021;267.493
Jun 18;2021;240.427
Jun 26;2021;290.547
Jul 4;2021;288.489
Jul 12;2021;280.833
Jul 20;2021;302.060
Jul 28;2021;266.787
Aug 5;2021;312.087
Aug 13;2021;319.699
Aug 21;2021;313.341
Aug 29;2021;366.051
Sep 6;2021;295.619
Sep 14;2021;354.103
Sep 22;2021;393.082
Sep 30;2021;374.671
Oct 8;2021;330.369
Oct 16;2021;334.671
Oct 24;2021;283.070
Nov 1;2021;423.032
Nov 9;2021;387.840
Nov 17;2021;481.925
Nov 25;2021;459.864
Dec 3;2021;444.112
Dec 11;2021;328.275
Dec 19;2021;546.783
Dec 27;2021;245.291
Jan 1;2022;247.373
Jan 9;2022;330.715
Jan 17;2022;540.231
Jan 25;2022;336.756
Feb 2;2022;294.693
Feb 10;2022;386.278
Feb 18;2022;319.980
Feb 26;2022;485.178
Mar 6;2022;415.132
Mar 14;2022;398.120
Mar 22;2022;363.352
Mar 30;2022;337.617
Apr 7;2022;368.004
Apr 15;2022;374.890
Apr 23;2022;352.781
May 1;2022;330.229
May 9;2022;282.472
May 17;2022;289.475
May 25;2022;279.066
Jun 2;2022;236.740
Jun 10;2022;227.523
Jun 18;2022;272.369
Jun 26;2022;268.682
Jul 4;2022;292.406
Jul 12;2022;261.723
Jul 20;2022;309.883
Jul 28;2022;297.566
Aug 5;2022;241.839
Aug 13;2022;296.546
Aug 21;2022;313.933
Aug 29;2022;308.601
Sep 6;2022;304.942
Sep 14;2022;326.763
Sep 22;2022;335.310
Sep 30;2022;327.134
Oct 8;2022;391.728
Oct 16;2022;384.170
Oct 24;2022;385.290
Nov 1;2022;388.652
Nov 9;2022;411.409
Nov 17;2022;461.940
Nov 25;2022;335.090
Dec 3;2022;406.101
Dec 11;2022;450.942
Dec 19;2022;423.541
Dec 27;2022;210.016
Jan 1;2023;344.537
Jan 9;2023;388.627
Jan 17;2023;387.626
Jan 25;2023;376.932
Feb 2;2023;384.313
Feb 10;2023;283.369
Feb 18;2023;400.488
Feb 26;2023;386.837
Mar 6;2023;312.881
Mar 14;2023;448.241
Mar 22;2023;402.352
Mar 30;2023;381.027
Apr 7;2023;334.060
Apr 15;2023;352.331
Apr 23;2023;301.637
May 1;2023;334.087
May 9;2023;266.924
May 17;2023;280.961
May 25;2023;272.362
Jun 2;2023;306.511
Jun 10;2023;245.897
Jun 18;2023;267.019
Jun 26;2023;275.528
Jul 4;2023;266.347
Jul 12;2023;239.489
Jul 20;2023;296.353
Jul 28;2023;297.207
Aug 5;2023;316.010
Aug 13;2023;273.680
Aug 21;2023;226.582
Aug 29;2023;313.772
Sep 6;2023;382.586
Sep 14;2023;392.674
Sep 22;2023;352.210
Sep 30;2023;317.405
Oct 8;2023;335.150
Oct 16;2023;404.773
Oct 24;2023;362.369
Nov 1;2023;453.062
Nov 9;2023;365.358
Nov 17;2023;328.409
Nov 25;2023;395.306
Dec 3;2023;
Dec 11;2023;482.607
Dec 19;2023;452.771
Dec 27;2023;252.645
