system:time_start;0;;GPP
Dec;11;2015;891.001
Dec;19;2015;949.737
Dec;27;2015;433.103
Jan;1;2016;882.142
Jan;9;2016;594.739
Jan;17;2016;802.988
Jan;25;2016;907.820
Feb;2;2016;944.643
Feb;10;2016;855.805
Feb;18;2016;593.795
Feb;26;2016;549.502
Mar;5;2016;718.256
Mar;13;2016;804.455
Mar;21;2016;660.643
Mar;29;2016;675.716
Apr;6;2016;846.709
Apr;14;2016;746.625
Apr;22;2016;537.982
Apr;30;2016;647.667
May;8;2016;469.990
May;16;2016;401.367
May;24;2016;468.143
Jun;1;2016;330.806
Jun;9;2016;515.492
Jun;17;2016;479.433
Jun;25;2016;507.464
Jul;3;2016;566.887
Jul;11;2016;518.115
Jul;19;2016;515.802
Jul;27;2016;544.796
Aug;4;2016;493.990
Aug;12;2016;607.430
Aug;20;2016;642.591
Aug;28;2016;631.709
Sep;5;2016;683.112
Sep;13;2016;591.693
Sep;21;2016;793.292
Sep;29;2016;492.916
Oct;7;2016;725.410
Oct;15;2016;791.541
Oct;23;2016;748.907
Oct;31;2016;749.840
Nov;8;2016;789.750
Nov;16;2016;890.733
Nov;24;2016;918.919
Dec;2;2016;935.613
Dec;10;2016;721.631
Dec;18;2016;842.984
Dec;26;2016;739.976
Jan;1;2017;671.923
Jan;9;2017;795.488
Jan;17;2017;780.860
Jan;25;2017;698.750
Feb;2;2017;704.934
Feb;10;2017;1027.542
Feb;18;2017;815.901
Feb;26;2017;595.918
Mar;6;2017;765.356
Mar;14;2017;682.511
Mar;22;2017;882.086
Mar;30;2017;806.618
Apr;7;2017;632.150
Apr;15;2017;664.350
Apr;23;2017;528.397
May;1;2017;549.168
May;9;2017;558.921
May;17;2017;379.984
May;25;2017;567.836
Jun;2;2017;551.015
Jun;10;2017;509.575
Jun;18;2017;521.642
Jun;26;2017;530.153
Jul;4;2017;536.476
Jul;12;2017;548.089
Jul;20;2017;602.823
Jul;28;2017;617.163
Aug;5;2017;593.557
Aug;13;2017;453.061
Aug;21;2017;649.306
Aug;29;2017;749.462
Sep;6;2017;801.814
Sep;14;2017;800.893
Sep;22;2017;763.091
Sep;30;2017;667.899
Oct;8;2017;786.633
Oct;16;2017;747.465
Oct;24;2017;677.674
Nov;1;2017;749.621
Nov;9;2017;868.362
Nov;17;2017;773.362
Nov;25;2017;781.121
Dec;3;2017;926.203
Dec;11;2017;1066.605
Dec;19;2017;785.175
Dec;27;2017;280.953
Jan;1;2018;565.730
Jan;9;2018;623.062
Jan;17;2018;755.282
Jan;25;2018;798.436
Feb;2;2018;739.162
Feb;10;2018;666.257
Feb;18;2018;668.947
Feb;26;2018;784.422
Mar;6;2018;806.422
Mar;14;2018;765.414
Mar;22;2018;882.345
Mar;30;2018;662.047
Apr;7;2018;781.176
Apr;15;2018;679.470
Apr;23;2018;694.029
May;1;2018;670.937
May;9;2018;580.105
May;17;2018;559.805
May;25;2018;542.253
Jun;2;2018;344.107
Jun;10;2018;360.179
Jun;18;2018;483.822
Jun;26;2018;536.564
Jul;4;2018;501.004
Jul;12;2018;568.153
Jul;20;2018;575.230
Jul;28;2018;473.390
Aug;5;2018;528.016
Aug;13;2018;625.361
Aug;21;2018;583.418
Aug;29;2018;692.792
Sep;6;2018;737.710
Sep;14;2018;433.833
Sep;22;2018;809.135
Sep;30;2018;582.924
Oct;8;2018;642.368
Oct;16;2018;775.243
Oct;24;2018;854.151
Nov;1;2018;661.127
Nov;9;2018;843.021
Nov;17;2018;710.869
Nov;25;2018;823.134
Dec;3;2018;1067.444
Dec;11;2018;1098.341
Dec;19;2018;786.310
Dec;27;2018;632.784
Jan;1;2019;811.142
Jan;9;2019;1038.456
Jan;17;2019;786.143
Jan;25;2019;825.630
Feb;2;2019;751.022
Feb;10;2019;681.975
Feb;18;2019;685.536
Feb;26;2019;600.506
Mar;6;2019;713.667
Mar;14;2019;610.521
Mar;22;2019;837.489
Mar;30;2019;756.175
Apr;7;2019;625.049
Apr;15;2019;737.254
Apr;23;2019;663.458
May;1;2019;604.288
May;9;2019;545.036
May;17;2019;511.633
May;25;2019;585.296
Jun;2;2019;503.160
Jun;10;2019;572.208
Jun;18;2019;551.009
Jun;26;2019;526.546
Jul;4;2019;466.878
Jul;12;2019;537.390
Jul;20;2019;611.595
Jul;28;2019;502.419
Aug;5;2019;625.283
Aug;13;2019;527.245
Aug;21;2019;597.528
Aug;29;2019;608.303
Sep;6;2019;682.828
Sep;14;2019;629.838
Sep;22;2019;679.002
Sep;30;2019;921.049
Oct;8;2019;750.495
Oct;16;2019;829.134
Oct;24;2019;788.260
Nov;1;2019;744.896
Nov;9;2019;667.083
Nov;17;2019;810.571
Nov;25;2019;855.032
Dec;3;2019;850.129
Dec;11;2019;851.875
Dec;19;2019;805.530
Dec;27;2019;727.626
Jan;1;2020;833.481
Jan;9;2020;795.084
Jan;17;2020;723.486
Jan;25;2020;892.732
Feb;2;2020;603.838
Feb;10;2020;653.244
Feb;18;2020;866.412
Feb;26;2020;579.124
Mar;5;2020;946.192
Mar;13;2020;828.720
Mar;21;2020;824.468
Mar;29;2020;705.371
Apr;6;2020;730.223
Apr;14;2020;635.733
Apr;22;2020;744.423
Apr;30;2020;608.483
May;8;2020;560.156
May;16;2020;550.385
May;24;2020;549.555
Jun;1;2020;474.166
Jun;9;2020;455.325
Jun;17;2020;558.773
Jun;25;2020;451.444
Jul;3;2020;510.090
Jul;11;2020;518.932
Jul;19;2020;613.680
Jul;27;2020;544.899
Aug;4;2020;680.412
Aug;12;2020;563.685
Aug;20;2020;562.836
Aug;28;2020;717.246
Sep;5;2020;715.742
Sep;13;2020;630.018
Sep;21;2020;653.301
Sep;29;2020;786.370
Oct;7;2020;808.452
Oct;15;2020;885.485
Oct;23;2020;840.446
Oct;31;2020;807.839
Nov;8;2020;713.600
Nov;16;2020;868.917
Nov;24;2020;1063.957
Dec;2;2020;739.956
Dec;10;2020;563.930
Dec;18;2020;827.151
Dec;26;2020;381.047
Jan;1;2021;679.183
Jan;9;2021;810.966
Jan;17;2021;1108.764
Jan;25;2021;886.952
Feb;2;2021;795.837
Feb;10;2021;753.879
Feb;18;2021;895.108
Feb;26;2021;661.347
Mar;6;2021;737.247
Mar;14;2021;800.192
Mar;22;2021;858.910
Mar;30;2021;835.513
Apr;7;2021;814.481
Apr;15;2021;711.735
Apr;23;2021;640.665
May;1;2021;646.060
May;9;2021;552.678
May;17;2021;566.982
May;25;2021;463.637
Jun;2;2021;551.120
Jun;10;2021;507.464
Jun;18;2021;475.696
Jun;26;2021;560.942
Jul;4;2021;561.150
Jul;12;2021;541.551
Jul;20;2021;584.304
Jul;28;2021;486.750
Aug;5;2021;616.294
Aug;13;2021;609.144
Aug;21;2021;566.808
Aug;29;2021;719.633
Sep;6;2021;621.963
Sep;14;2021;666.358
Sep;22;2021;780.047
Sep;30;2021;766.914
Oct;8;2021;752.968
Oct;16;2021;727.115
Oct;24;2021;533.069
Nov;1;2021;856.753
Nov;9;2021;783.632
Nov;17;2021;989.401
Nov;25;2021;916.057
Dec;3;2021;922.107
Dec;11;2021;668.665
Dec;19;2021;1087.898
Dec;27;2021;498.617
Jan;1;2022;537.638
Jan;9;2022;722.871
Jan;17;2022;1106.961
Jan;25;2022;695.059
Feb;2;2022;629.443
Feb;10;2022;807.901
Feb;18;2022;763.824
Feb;26;2022;964.834
Mar;6;2022;868.248
Mar;14;2022;755.852
Mar;22;2022;775.866
Mar;30;2022;736.382
Apr;7;2022;762.488
Apr;15;2022;782.093
Apr;23;2022;709.866
May;1;2022;624.066
May;9;2022;556.649
May;17;2022;605.454
May;25;2022;548.731
Jun;2;2022;460.315
Jun;10;2022;463.183
Jun;18;2022;544.175
Jun;26;2022;529.653
Jul;4;2022;566.462
Jul;12;2022;497.530
Jul;20;2022;628.202
Jul;28;2022;570.215
Aug;5;2022;483.578
Aug;13;2022;586.411
Aug;21;2022;650.686
Aug;29;2022;636.186
Sep;6;2022;616.966
Sep;14;2022;685.194
Sep;22;2022;658.699
Sep;30;2022;664.033
Oct;8;2022;801.709
Oct;16;2022;773.871
Oct;24;2022;825.997
Nov;1;2022;732.959
Nov;9;2022;809.285
Nov;17;2022;907.054
Nov;25;2022;792.090
Dec;3;2022;786.263
Dec;11;2022;886.801
Dec;19;2022;864.740
Dec;27;2022;428.362
Jan;1;2023;679.898
Jan;9;2023;801.360
Jan;17;2023;842.815
Jan;25;2023;691.349
Feb;2;2023;732.298
Feb;10;2023;625.819
Feb;18;2023;753.065
Feb;26;2023;745.470
Mar;6;2023;595.294
Mar;14;2023;937.935
Mar;22;2023;813.137
Mar;30;2023;785.930
Apr;7;2023;698.128
Apr;15;2023;701.401
Apr;23;2023;668.691
May;1;2023;681.445
May;9;2023;554.710
May;17;2023;562.962
May;25;2023;517.578
Jun;2;2023;606.283
Jun;10;2023;472.678
Jun;18;2023;533.347
Jun;26;2023;541.889
Jul;4;2023;518.035
Jul;12;2023;486.892
Jul;20;2023;560.361
Jul;28;2023;603.170
Aug;5;2023;609.765
Aug;13;2023;569.157
Aug;21;2023;430.364
Aug;29;2023;619.278
Sep;6;2023;739.860
Sep;14;2023;776.662
Sep;22;2023;720.082
Sep;30;2023;703.915
Oct;8;2023;730.372
Oct;16;2023;848.193
Oct;24;2023;690.423
Nov;1;2023;895.637
Nov;9;2023;739.681
Nov;17;2023;607.930
Nov;25;2023;827.313
Dec;3;2023;
Dec;11;2023;978.528
Dec;19;2023;980.659
Dec;27;2023;506.833
