system:time_start;0;GPP
Mar 6;2015;458.386
Mar 14;2015;546.799
Mar 22;2015;729.560
Mar 30;2015;714.738
Apr 7;2015;742.122
Apr 15;2015;602.439
Apr 23;2015;673.078
May 1;2015;574.044
May 9;2015;553.110
May 17;2015;508.555
May 25;2015;489.297
Jun 2;2015;564.963
Jun 10;2015;477.254
Jun 18;2015;435.415
Jun 26;2015;524.977
Jul 4;2015;406.914
Jul 12;2015;520.003
Jul 20;2015;483.839
Jul 28;2015;628.515
Aug 5;2015;677.315
Aug 13;2015;687.001
Aug 21;2015;597.534
Aug 29;2015;623.428
Sep 6;2015;451.765
Sep 14;2015;748.872
Sep 22;2015;646.863
Sep 30;2015;726.326
Oct 8;2015;788.684
Oct 16;2015;711.523
Oct 24;2015;714.799
Nov 1;2015;642.615
Nov 9;2015;799.945
Nov 17;2015;741.252
Nov 25;2015;835.819
Dec 3;2015;746.052
Dec 11;2015;876.139
Dec 19;2015;995.384
Dec 27;2015;428.082
Jan 1;2016;858.836
Jan 9;2016;626.970
Jan 17;2016;814.280
Jan 25;2016;913.122
Feb 2;2016;947.773
Feb 10;2016;805.549
Feb 18;2016;617.464
Feb 26;2016;518.686
Mar 5;2016;675.188
Mar 13;2016;785.503
Mar 21;2016;667.596
Mar 29;2016;709.720
Apr 6;2016;837.971
Apr 14;2016;750.678
Apr 22;2016;515.138
Apr 30;2016;667.568
May 8;2016;534.875
May 16;2016;428.532
May 24;2016;508.133
Jun 1;2016;342.044
Jun 9;2016;540.924
Jun 17;2016;511.915
Jun 25;2016;522.790
Jul 3;2016;589.720
Jul 11;2016;522.148
Jul 19;2016;532.272
Jul 27;2016;538.093
Aug 4;2016;536.684
Aug 12;2016;619.992
Aug 20;2016;647.658
Aug 28;2016;661.960
Sep 5;2016;690.389
Sep 13;2016;574.271
Sep 21;2016;772.871
Sep 29;2016;502.484
Oct 7;2016;795.680
Oct 15;2016;789.232
Oct 23;2016;722.419
Oct 31;2016;700.990
Nov 8;2016;711.805
Nov 16;2016;855.119
Nov 24;2016;918.420
Dec 2;2016;858.483
Dec 10;2016;668.699
Dec 18;2016;805.813
Dec 26;2016;742.967
Jan 1;2017;735.923
Jan 9;2017;817.438
Jan 17;2017;765.817
Jan 25;2017;853.520
Feb 2;2017;697.540
Feb 10;2017;1012.087
Feb 18;2017;770.314
Feb 26;2017;564.603
Mar 6;2017;683.195
Mar 14;2017;609.121
Mar 22;2017;802.235
Mar 30;2017;799.599
Apr 7;2017;633.233
Apr 15;2017;658.280
Apr 23;2017;557.227
May 1;2017;600.976
May 9;2017;614.191
May 17;2017;382.523
May 25;2017;573.155
Jun 2;2017;524.144
