system:time_start;0;;NPP8
Jul;3;2016;295.952
Jul;11;2016;270.422
Jul;19;2016;268.902
Jul;27;2016;284.075
Aug;4;2016;257.266
Aug;12;2016;316.876
Aug;20;2016;334.925
Aug;28;2016;328.909
Sep;5;2016;356.094
Sep;13;2016;308.349
Sep;21;2016;412.527
Sep;29;2016;256.142
Oct;7;2016;377.668
Oct;15;2016;412.014
Oct;23;2016;389.575
Oct;31;2016;390.609
Nov;8;2016;411.656
Nov;16;2016;463.940
Nov;24;2016;478.632
Dec;2;2016;489.137
Dec;10;2016;376.871
Dec;18;2016;439.371
Dec;26;2016;385.883
Jan;1;2017;351.386
Jan;9;2017;417.734
Jan;17;2017;409.704
Jan;25;2017;365.637
Feb;2;2017;369.172
Feb;10;2017;539.439
Feb;18;2017;427.792
Feb;26;2017;312.299
Mar;6;2017;400.926
Mar;14;2017;358.036
Mar;22;2017;463.239
Mar;30;2017;423.294
Apr;7;2017;330.879
Apr;15;2017;349.730
Apr;23;2017;277.986
May;1;2017;289.163
May;9;2017;293.274
May;17;2017;199.894
May;25;2017;298.426
Jun;2;2017;289.607
Jun;10;2017;268.083
Jun;18;2017;274.158
Jun;26;2017;278.589
Jul;4;2017;282.035
Jul;12;2017;287.995
Jul;20;2017;316.322
Jul;28;2017;323.710
Aug;5;2017;311.240
Aug;13;2017;236.814
Aug;21;2017;340.406
Aug;29;2017;393.303
Sep;6;2017;420.806
Sep;14;2017;419.791
Sep;22;2017;399.656
Sep;30;2017;350.060
Oct;8;2017;411.825
Oct;16;2017;391.551
Oct;24;2017;354.307
Nov;1;2017;391.589
Nov;9;2017;454.881
Nov;17;2017;404.943
Nov;25;2017;409.819
Dec;3;2017;486.311
Dec;11;2017;559.698
Dec;19;2017;411.566
Dec;27;2017;147.265
Jan;1;2018;298.638
Jan;9;2018;329.001
Jan;17;2018;398.776
Jan;25;2018;421.922
Feb;2;2018;390.257
Feb;10;2018;351.994
Feb;18;2018;353.756
Feb;26;2018;415.203
Mar;6;2018;427.160
Mar;14;2018;404.863
Mar;22;2018;467.150
Mar;30;2018;350.046
Apr;7;2018;413.573
Apr;15;2018;359.873
Apr;23;2018;367.067
May;1;2018;355.154
May;9;2018;306.472
May;17;2018;295.696
May;25;2018;286.397
Jun;2;2018;181.573
Jun;10;2018;190.109
Jun;18;2018;255.860
Jun;26;2018;283.492
Jul;4;2018;264.627
Jul;12;2018;300.255
Jul;20;2018;303.619
Jul;28;2018;249.481
Aug;5;2018;278.159
Aug;13;2018;330.153
Aug;21;2018;308.032
Aug;29;2018;365.727
Sep;6;2018;389.475
Sep;14;2018;229.503
Sep;22;2018;427.540
Sep;30;2018;307.931
Oct;8;2018;339.674
Oct;16;2018;409.626
Oct;24;2018;451.608
Nov;1;2018;349.351
Nov;9;2018;446.435
Nov;17;2018;375.432
Nov;25;2018;433.913
Dec;3;2018;564.487
Dec;11;2018;581.223
Dec;19;2018;415.500
Dec;27;2018;334.971
Jan;1;2019;406.623
Jan;9;2019;519.964
Jan;17;2019;393.537
Jan;25;2019;413.699
Feb;2;2019;375.774
Feb;10;2019;340.649
Feb;18;2019;343.692
Feb;26;2019;301.159
Mar;6;2019;357.839
Mar;14;2019;306.271
Mar;22;2019;420.204
Mar;30;2019;379.647
Apr;7;2019;313.906
Apr;15;2019;370.618
Apr;23;2019;332.802
May;1;2019;303.047
May;9;2019;273.807
May;17;2019;256.652
May;25;2019;293.770
Jun;2;2019;251.910
Jun;10;2019;286.813
Jun;18;2019;276.552
Jun;26;2019;263.972
Jul;4;2019;234.037
Jul;12;2019;269.352
Jul;20;2019;306.578
Jul;28;2019;251.272
Aug;5;2019;313.064
Aug;13;2019;263.788
Aug;21;2019;298.846
Aug;29;2019;304.452
Sep;6;2019;341.664
Sep;14;2019;314.924
Sep;22;2019;339.865
Sep;30;2019;460.869
Oct;8;2019;376.379
Oct;16;2019;415.669
Oct;24;2019;394.449
Nov;1;2019;372.593
Nov;9;2019;334.300
Nov;17;2019;406.799
Nov;25;2019;427.159
Dec;3;2019;426.293
Dec;11;2019;428.191
Dec;19;2019;403.867
Dec;27;2019;364.478
Jan;1;2020;436.678
Jan;9;2020;416.758
Jan;17;2020;379.678
Jan;25;2020;468.182
Feb;2;2020;316.220
Feb;10;2020;341.652
Feb;18;2020;454.987
Feb;26;2020;303.968
Mar;5;2020;495.741
Mar;13;2020;435.737
Mar;21;2020;432.100
Mar;29;2020;370.587
Apr;6;2020;382.858
Apr;14;2020;333.692
Apr;22;2020;391.062
Apr;30;2020;319.733
May;8;2020;294.342
May;16;2020;289.320
May;24;2020;288.509
Jun;1;2020;248.822
Jun;9;2020;238.661
Jun;17;2020;293.036
Jun;25;2020;236.796
Jul;3;2020;267.654
Jul;11;2020;271.724
Jul;19;2020;321.323
Jul;27;2020;285.352
Aug;4;2020;356.473
Aug;12;2020;294.858
Aug;20;2020;293.620
Aug;28;2020;375.446
Sep;5;2020;374.069
Sep;13;2020;330.034
Sep;21;2020;342.499
Sep;29;2020;412.718
Oct;7;2020;422.617
Oct;15;2020;464.140
Oct;23;2020;440.998
Oct;31;2020;421.850
Nov;8;2020;373.503
Nov;16;2020;455.522
Nov;24;2020;558.102
Dec;2;2020;388.456
Dec;10;2020;295.777
Dec;18;2020;435.083
Dec;26;2020;199.946
Jan;1;2021;365.185
Jan;9;2021;435.429
Jan;17;2021;597.406
Jan;25;2021;476.978
Feb;2;2021;427.296
Feb;10;2021;406.477
Feb;18;2021;481.458
Feb;26;2021;356.149
Mar;6;2021;397.555
Mar;14;2021;431.454
Mar;22;2021;463.117
Mar;30;2021;450.619
Apr;7;2021;439.260
Apr;15;2021;381.900
Apr;23;2021;344.481
May;1;2021;348.267
May;9;2021;297.884
May;17;2021;305.496
May;25;2021;250.060
Jun;2;2021;297.264
Jun;10;2021;273.764
Jun;18;2021;256.555
Jun;26;2021;302.097
Jul;4;2021;302.360
Jul;12;2021;291.204
Jul;20;2021;314.302
Jul;28;2021;261.707
Aug;5;2021;331.377
Aug;13;2021;327.514
Aug;21;2021;304.049
Aug;29;2021;386.521
Sep;6;2021;333.814
Sep;14;2021;357.320
Sep;22;2021;419.796
Sep;30;2021;412.446
Oct;8;2021;405.439
Oct;16;2021;390.715
Oct;24;2021;286.096
Nov;1;2021;459.087
Nov;9;2021;419.693
Nov;17;2021;531.234
Nov;25;2021;492.212
Dec;3;2021;495.211
Dec;11;2021;359.372
Dec;19;2021;587.117
Dec;27;2021;268.499
Jan;1;2022;286.021
Jan;9;2022;384.601
Jan;17;2022;588.204
Jan;25;2022;367.705
Feb;2;2022;333.581
Feb;10;2022;428.542
Feb;18;2022;405.789
Feb;26;2022;513.153
Mar;6;2022;460.720
Mar;14;2022;401.151
Mar;22;2022;411.476
Mar;30;2022;391.972
Apr;7;2022;405.919
Apr;15;2022;415.834
Apr;23;2022;377.628
May;1;2022;331.899
May;9;2022;295.470
May;17;2022;322.407
May;25;2022;291.811
Jun;2;2022;244.874
Jun;10;2022;246.365
Jun;18;2022;289.349
Jun;26;2022;281.451
Jul;4;2022;300.671
Jul;12;2022;263.310
Jul;20;2022;333.650
Jul;28;2022;301.910
Aug;5;2022;256.548
Aug;13;2022;311.217
Aug;21;2022;345.504
Aug;29;2022;337.250
Sep;6;2022;327.315
Sep;14;2022;361.974
Sep;22;2022;348.104
Sep;30;2022;351.351
Oct;8;2022;424.289
Oct;16;2022;410.239
Oct;24;2022;438.749
Nov;1;2022;387.500
Nov;9;2022;428.184
Nov;17;2022;480.111
Nov;25;2022;419.715
Dec;3;2022;417.272
Dec;11;2022;469.397
Dec;19;2022;457.666
Dec;27;2022;226.843
Jan;1;2023;359.229
Jan;9;2023;424.847
Jan;17;2023;443.967
Jan;25;2023;364.348
Feb;2;2023;386.795
Feb;10;2023;330.978
Feb;18;2023;398.915
Feb;26;2023;395.101
Mar;6;2023;315.272
Mar;14;2023;497.405
Mar;22;2023;431.170
Mar;30;2023;416.680
Apr;7;2023;369.140
Apr;15;2023;371.629
Apr;23;2023;354.877
May;1;2023;361.615
May;9;2023;293.557
May;17;2023;298.787
May;25;2023;274.737
Jun;2;2023;321.536
Jun;10;2023;250.656
Jun;18;2023;282.133
Jun;26;2023;286.384
Jul;4;2023;274.262
Jul;12;2023;256.932
Jul;20;2023;296.126
Jul;28;2023;318.815
Aug;5;2023;322.107
Aug;13;2023;300.915
Aug;21;2023;227.145
Aug;29;2023;326.618
Sep;6;2023;391.164
Sep;14;2023;409.627
Sep;22;2023;380.779
Sep;30;2023;372.336
Oct;8;2023;385.242
Oct;16;2023;447.136
Oct;24;2023;364.788
Nov;1;2023;472.334
Nov;9;2023;389.631
Nov;17;2023;320.960
Nov;25;2023;436.754
Dec;3;2023;
Dec;11;2023;516.408
Dec;19;2023;516.575
Dec;27;2023;266.744
